family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,0,42000,greedy,True,0.7208,0.2322,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,0,42000,beam_search,True,0.7208,0.2322,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,1,42001,greedy,True,0.7909,0.3850,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,1,42001,beam_search,True,0.7909,0.3850,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,greedy,True,0.0047,0.5132,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,beam_search,True,0.6988,0.5071,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,3,42003,greedy,True,0.9594,0.1691,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,3,42003,beam_search,True,0.9542,0.1742,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,4,42004,greedy,True,0.9087,0.5595,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,4,42004,beam_search,True,0.9087,0.5595,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,5,42005,greedy,True,0.7094,0.3124,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,5,42005,beam_search,True,0.7094,0.3124,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,greedy,True,0.8399,0.1940,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,beam_search,True,0.8358,0.2908,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,7,42007,greedy,True,0.5675,0.2885,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,7,42007,beam_search,True,0.5676,0.2880,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,8,42008,greedy,True,0.9335,0.3059,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,8,42008,beam_search,True,0.3411,0.5986,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,9,42009,greedy,False,0.0000,0.3420,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12876dd00>
line_segment,9,42009,beam_search,False,0.0000,0.3420,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b600>
line_segment,10,42010,greedy,True,0.8834,0.2693,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,10,42010,beam_search,True,0.7307,0.5073,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,11,42011,greedy,True,0.0980,0.4775,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,11,42011,beam_search,True,0.0980,0.4775,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,12,42012,greedy,True,0.7376,0.3554,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,12,42012,beam_search,True,0.7376,0.3554,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,13,42013,greedy,True,0.3360,0.4386,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,13,42013,beam_search,True,0.3362,0.4384,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,14,42014,greedy,True,0.5048,0.3152,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,14,42014,beam_search,True,0.5064,0.2834,2,draw,0.8636,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,
line_segment,15,42015,greedy,True,0.9372,0.3201,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,15,42015,beam_search,True,0.9532,0.2898,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,16,42016,greedy,True,0.7196,0.4903,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,16,42016,beam_search,True,0.7186,0.5345,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,17,42017,greedy,True,0.3384,0.5036,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,17,42017,beam_search,True,0.3360,0.6026,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,18,42018,greedy,True,0.7887,0.5192,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,18,42018,beam_search,True,0.7887,0.5192,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,19,42019,greedy,True,0.9726,0.7339,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,19,42019,beam_search,True,0.9737,0.7365,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,20,42020,greedy,True,0.6433,0.2722,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,20,42020,beam_search,True,0.6433,0.2722,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,21,42021,greedy,True,0.0001,0.2338,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,21,42021,beam_search,True,0.0001,0.2338,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,22,42022,greedy,True,0.8338,0.2572,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,22,42022,beam_search,True,0.4243,0.2450,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,23,42023,greedy,True,0.8508,0.7410,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,23,42023,beam_search,True,0.8508,0.7410,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,24,42024,greedy,True,0.7358,0.4281,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,24,42024,beam_search,True,0.5678,0.4649,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,25,42025,greedy,True,0.7972,0.3551,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,25,42025,beam_search,True,0.0715,0.6044,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,26,42026,greedy,True,0.6476,0.4457,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,26,42026,beam_search,True,0.0305,0.3885,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,27,42027,greedy,True,0.0498,0.3502,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,27,42027,beam_search,True,0.0498,0.3502,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,28,42028,greedy,True,0.7243,0.2547,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,28,42028,beam_search,False,0.0000,0.2665,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x128795440>
line_segment,29,42029,greedy,True,0.6130,0.4814,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,29,42029,beam_search,True,0.6130,0.4814,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
