family,policy,samples,compilation_rate_mean,ssim_mean,ssim_std,coord_error_mean,coord_error_std,token_ged_mean,token_ged_std,graph_ged_mean,graph_ged_std,token_overlap_mean,family_accuracy,collapse_rate,eos_rate,unk_rate,mean_length
line_segment,greedy,100,0.8900,0.5528,0.3205,1.0000,0.0000,0.8667,0.0072,1.0000,0.0000,0.1250,1.0000,0.0000,1.0000,0.0000,24.63
circle_arc,greedy,100,0.8900,0.8383,0.3015,1.0000,0.0000,0.8444,0.0314,1.0000,0.0000,0.1394,0.7000,0.0200,1.0000,0.0000,22.17
grid_axes,greedy,100,1.0000,0.7113,0.2496,1.0000,0.0000,0.9167,0.0000,1.0000,0.0000,0.1026,1.0000,0.0000,1.0000,0.0000,62.00
node_arrow,greedy,100,1.0000,0.6951,0.1129,1.0000,0.0000,0.9197,0.0101,0.7733,0.0816,0.0744,0.0000,0.9800,1.0000,0.0000,44.12
composed,greedy,100,0.9400,0.6881,0.2008,1.0000,0.0000,0.8959,0.0311,1.0000,0.0000,0.0695,0.0000,0.8700,1.0000,0.0000,43.08
line_segment,beam_search,100,0.9000,0.5523,0.3285,1.0000,0.0000,0.8665,0.0030,1.0000,0.0000,0.1254,1.0000,0.0000,1.0000,0.0000,24.48
circle_arc,beam_search,100,0.9100,0.8479,0.2822,1.0000,0.0000,0.8454,0.0327,1.0000,0.0000,0.1385,0.6800,0.0400,1.0000,0.0000,22.19
grid_axes,beam_search,100,1.0000,0.7103,0.2501,1.0000,0.0000,0.9167,0.0000,1.0000,0.0000,0.1026,1.0000,0.0000,1.0000,0.0000,62.00
node_arrow,beam_search,100,0.9600,0.6486,0.1901,1.0000,0.0000,0.9196,0.0105,0.7733,0.0816,0.0743,0.0000,0.9500,1.0000,0.0000,42.14
composed,beam_search,100,0.9200,0.6766,0.2196,1.0000,0.0000,0.8987,0.0323,1.0000,0.0000,0.0682,0.0000,0.8400,1.0000,0.0000,42.83
