family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,0,42000,greedy,True,0.5391,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,0,42000,beam_search,True,0.5391,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,0,42000,sampling_gamma0,True,0.6659,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,0,42000,cfg_gamma32,True,0.6521,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,1,42001,greedy,True,0.6577,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,1,42001,beam_search,True,0.7866,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,1,42001,sampling_gamma0,True,0.8858,14.1421,0.8750,1.0000,0.1111,line_segment,False,25,25,True,0,0,0,
line_segment,1,42001,cfg_gamma32,True,0.6204,14.1421,0.8750,1.0000,0.1111,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,greedy,True,0.9150,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,beam_search,True,0.9150,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,sampling_gamma0,True,0.8118,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,2,42002,cfg_gamma32,True,0.7238,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,3,42003,greedy,True,0.7285,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,3,42003,beam_search,True,0.7313,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,3,42003,sampling_gamma0,False,0.0000,14.1421,0.8750,1.0000,0.1154,line_segment,False,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
line_segment,3,42003,cfg_gamma32,False,0.0000,14.1421,0.8750,1.0000,0.1154,line_segment,False,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
line_segment,4,42004,greedy,True,0.9366,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,4,42004,beam_search,True,0.9366,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,4,42004,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,4,42004,cfg_gamma32,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,5,42005,greedy,True,0.7352,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,5,42005,beam_search,True,0.7352,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,5,42005,sampling_gamma0,True,0.7092,14.1421,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,5,42005,cfg_gamma32,True,0.7244,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,greedy,True,0.9133,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,beam_search,True,0.9085,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,sampling_gamma0,True,0.8541,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,6,42006,cfg_gamma32,True,0.8354,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,7,42007,greedy,True,0.3352,14.1421,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,7,42007,beam_search,True,0.4502,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,7,42007,sampling_gamma0,True,0.6116,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,7,42007,cfg_gamma32,True,0.6535,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,8,42008,greedy,True,0.8283,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,8,42008,beam_search,True,0.8283,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,8,42008,sampling_gamma0,True,0.7389,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,8,42008,cfg_gamma32,True,0.9749,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,9,42009,greedy,True,1.0000,14.1421,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,9,42009,beam_search,True,1.0000,14.1421,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,9,42009,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,9,42009,cfg_gamma32,False,0.0000,14.1421,0.9846,1.0000,0.1176,unknown,False,128,128,False,0,10,10,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,10,42010,greedy,True,0.7766,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,10,42010,beam_search,True,0.7766,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,10,42010,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,10,42010,cfg_gamma32,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,11,42011,greedy,True,0.9428,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,11,42011,beam_search,True,0.9428,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,11,42011,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,11,42011,cfg_gamma32,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,12,42012,greedy,True,0.7999,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,12,42012,beam_search,True,0.8109,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,12,42012,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,12,42012,cfg_gamma32,True,0.5237,14.1421,0.8750,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,13,42013,greedy,True,0.8305,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,13,42013,beam_search,True,0.8305,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,13,42013,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,13,42013,cfg_gamma32,False,0.0000,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,14,42014,greedy,True,0.3159,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,14,42014,beam_search,True,0.4686,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,14,42014,sampling_gamma0,True,0.5063,14.1421,0.8636,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,
line_segment,14,42014,cfg_gamma32,True,0.4124,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,15,42015,greedy,True,0.2462,14.1421,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,15,42015,beam_search,True,0.2135,14.1421,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,15,42015,sampling_gamma0,True,0.5071,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,15,42015,cfg_gamma32,True,0.8573,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,16,42016,greedy,True,0.9610,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,16,42016,beam_search,True,0.9610,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,16,42016,sampling_gamma0,True,0.8523,14.1421,0.8636,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,
line_segment,16,42016,cfg_gamma32,True,0.9261,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,17,42017,greedy,True,0.6424,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,17,42017,beam_search,True,0.6452,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,17,42017,sampling_gamma0,False,0.0000,14.1421,0.8750,1.0000,0.1154,line_segment,False,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,17,42017,cfg_gamma32,False,0.0000,14.1421,0.8750,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,18,42018,greedy,True,0.5990,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,18,42018,beam_search,True,0.6891,14.1421,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,18,42018,sampling_gamma0,False,0.0000,14.1421,0.8750,1.0000,0.1111,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,18,42018,cfg_gamma32,False,0.0000,14.1421,0.8750,1.0000,0.1111,line_segment,False,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,19,42019,greedy,True,0.8029,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,19,42019,beam_search,True,0.8029,14.1421,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,19,42019,sampling_gamma0,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
line_segment,19,42019,cfg_gamma32,False,0.0000,14.1421,0.8696,1.0000,0.1200,line_segment,False,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,0,42000,greedy,True,0.7104,14.1421,0.9130,1.0000,0.0769,line_segment,True,25,25,True,0,0,0,
circle_arc,0,42000,beam_search,True,0.7104,14.1421,0.9130,1.0000,0.0769,line_segment,True,25,25,True,0,0,0,
circle_arc,0,42000,sampling_gamma0,True,0.7189,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,0,42000,cfg_gamma32,True,0.5611,14.1421,0.9130,1.0000,0.0769,line_segment,True,25,25,True,0,0,0,
circle_arc,1,42001,greedy,True,0.7482,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,1,42001,beam_search,True,0.7580,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,1,42001,sampling_gamma0,False,0.0000,14.1421,0.9167,1.0000,0.0714,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,1,42001,cfg_gamma32,True,0.7552,14.1421,0.9167,1.0000,0.0714,line_segment,True,25,25,True,0,0,0,
circle_arc,2,42002,greedy,True,0.8422,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,2,42002,beam_search,True,0.8410,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,2,42002,sampling_gamma0,False,0.0000,14.1421,0.9130,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
circle_arc,2,42002,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0741,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
circle_arc,3,42003,greedy,True,0.8653,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,3,42003,beam_search,True,0.8653,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,3,42003,sampling_gamma0,False,0.0000,14.1421,0.9167,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
circle_arc,3,42003,cfg_gamma32,False,0.0000,14.1421,0.9167,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"TeX compilation structurally failed. Engine output: This is pdfTeX, Version 3.141592653-2.6-1.40.28 "
circle_arc,4,42004,greedy,True,0.7773,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,
circle_arc,4,42004,beam_search,True,0.7773,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,
circle_arc,4,42004,sampling_gamma0,False,0.0000,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,4,42004,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,5,42005,greedy,True,0.6642,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,5,42005,beam_search,True,0.6642,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,5,42005,sampling_gamma0,True,0.7856,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,5,42005,cfg_gamma32,True,0.7064,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,greedy,True,0.6603,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,beam_search,True,0.6603,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,sampling_gamma0,True,0.7698,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,cfg_gamma32,True,0.7241,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,7,42007,greedy,True,0.7483,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,beam_search,True,0.7578,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,sampling_gamma0,True,0.7347,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,cfg_gamma32,True,0.6931,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,8,42008,greedy,True,0.7064,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,8,42008,beam_search,True,0.6895,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
