family,policy,samples,compilation_rate_mean,ssim_mean,ssim_std,coord_error_mean,coord_error_std,token_ged_mean,token_ged_std,graph_ged_mean,graph_ged_std,token_overlap_mean,family_accuracy,collapse_rate,eos_rate,unk_rate,mean_length
line_segment,greedy,20,1.0000,0.7253,0.2170,14.1421,0.0000,0.8672,0.0029,1.0000,0.0000,0.1209,1.0000,0.0000,1.0000,0.0000,24.60
circle_arc,greedy,20,0.9000,0.6426,0.2399,14.1421,0.0000,0.9105,0.0019,1.0000,0.0000,0.0821,0.0000,1.0000,1.0000,0.0000,24.35
grid_axes,greedy,20,1.0000,0.4339,0.1491,14.1421,0.0000,0.9167,0.0000,1.0000,0.0000,0.0882,0.0000,1.0000,1.0000,0.0000,24.00
node_arrow,greedy,20,1.0000,0.6893,0.0841,14.1421,0.0000,0.9243,0.0133,0.7819,0.0868,0.0793,0.0000,1.0000,1.0000,0.0000,24.05
composed,greedy,20,1.0000,0.6974,0.1038,14.1421,0.0000,0.9140,0.0204,1.0000,0.0000,0.0740,0.0000,1.0000,1.0000,0.0000,24.00
line_segment,beam_search,20,1.0000,0.7486,0.1961,14.1421,0.0000,0.8675,0.0028,1.0000,0.0000,0.1202,1.0000,0.0000,1.0000,0.0000,24.65
circle_arc,beam_search,20,1.0000,0.7341,0.0915,14.1421,0.0000,0.9107,0.0019,1.0000,0.0000,0.0814,0.0000,1.0000,1.0000,0.0000,24.40
grid_axes,beam_search,20,1.0000,0.4332,0.1495,14.1421,0.0000,0.9167,0.0000,1.0000,0.0000,0.0882,0.0000,1.0000,1.0000,0.0000,24.00
node_arrow,beam_search,20,1.0000,0.6914,0.0839,14.1421,0.0000,0.9249,0.0127,0.7819,0.0868,0.0793,0.0000,1.0000,1.0000,0.0000,24.20
composed,beam_search,20,1.0000,0.7256,0.0609,14.1421,0.0000,0.9140,0.0204,1.0000,0.0000,0.0739,0.0000,1.0000,1.0000,0.0000,24.05
line_segment,sampling_gamma0,20,0.5000,0.3571,0.3693,14.1421,0.0000,0.8689,0.0040,1.0000,0.0000,0.1188,1.0000,0.0000,1.0000,0.0000,24.50
circle_arc,sampling_gamma0,20,0.4000,0.3093,0.3795,14.1421,0.0000,0.9120,0.0033,1.0000,0.0000,0.0804,0.0000,1.0000,1.0000,0.0000,24.20
grid_axes,sampling_gamma0,20,0.4000,0.1730,0.2493,14.1421,0.0000,0.9168,0.0007,1.0000,0.0000,0.0865,0.0000,1.0000,1.0000,0.0000,24.00
node_arrow,sampling_gamma0,20,0.3500,0.2377,0.3263,14.1421,0.0000,0.9254,0.0123,0.8971,0.1192,0.0779,0.0000,1.0000,1.0000,0.0000,24.15
composed,sampling_gamma0,20,0.4000,0.3122,0.3835,14.1421,0.0000,0.9161,0.0194,1.0000,0.0000,0.0728,0.0000,1.0000,1.0000,0.0000,24.00
line_segment,cfg_gamma32,20,0.5500,0.3952,0.3773,14.1421,0.0000,0.8758,0.0252,1.0000,0.0000,0.1179,0.9500,0.0000,0.9500,0.0000,29.85
circle_arc,cfg_gamma32,20,0.4500,0.3341,0.3732,14.1421,0.0000,0.9130,0.0027,1.0000,0.0000,0.0795,0.0000,1.0000,1.0000,0.0000,24.50
grid_axes,cfg_gamma32,20,0.4000,0.1687,0.2409,14.1421,0.0000,0.9168,0.0007,1.0000,0.0000,0.0866,0.0000,1.0000,1.0000,0.0000,24.00
node_arrow,cfg_gamma32,20,0.3500,0.2198,0.3065,14.1421,0.0000,0.9256,0.0120,0.8971,0.1192,0.0775,0.0000,1.0000,1.0000,0.0000,24.30
composed,cfg_gamma32,20,0.4500,0.3491,0.3873,14.1421,0.0000,0.9159,0.0193,1.0000,0.0000,0.0729,0.0000,1.0000,1.0000,0.0000,24.10
